,token,radical
0,2,CDP-8BC4
1,3,才
2,4,此
3,5,取
4,6,方
5,7,㫗
6,8,右
7,9,巟
8,10,孑
9,11,正
10,12,CDP-8CA3
11,13,吕
12,14,弚
13,15,㕡
14,16,丿
15,17,CDP-8A65
16,18,㚘
17,19,五
18,20,玄
19,21,CDP-8D6F
20,22,隺
21,23,可
22,24,𣦼
23,25,CDP-88C8
24,26,CDP-8C69
25,27,止
26,28,彡
27,29,⻌
28,30,㔾
29,31,爻
30,32,丫
31,33,CDP-8BBF
32,34,舛
33,35,CDP-89D5
34,36,CDP-8CB8
35,37,犭
36,38,毋
37,39,氵
38,40,𢀖
39,41,重
40,42,髟
41,43,夷
42,44,毛
43,45,米
44,46,贝
45,47,欠
46,48,互
47,49,卩
48,50,民
49,51,GT-K00059
50,52,隶
51,53,事
52,54,𠃊
53,55,CDP-8AC0
54,56,𰕎
55,57,尗
56,58,甫
57,59,㓞
58,60,㝵
59,61,不
60,62,𦣻
61,63,垂
62,64,𢎥
63,65,乖
64,66,CDP-8CC8
65,67,倠
66,68,吉
67,69,攵
68,70,CDP-89A6
69,71,尹
70,72,召
71,73,⺫
72,74,各
73,75,衤
74,76,CDP-8D52
75,77,爽
76,78,曲
77,79,公
78,80,囚
79,81,卅
80,82,耒
81,83,弓
82,84,⺜
83,85,已
84,86,CDP-8A43
85,87,佰
86,88,串
87,89,𫠣
88,90,网
89,91,心
90,92,o-UU+4343
91,93,戕
92,94,CDP-8D67
93,95,龸
94,96,古
95,97,CDP-8BDC
96,98,𡭴
97,99,母
98,100,乐
99,101,𰃦
100,102,𫵖
101,103,𰀉
102,104,门
103,105,大
104,106,GT-K00264
105,107,屰
106,108,CDP-8C46
107,109,千
108,110,CDP-8BFE
109,111,丂
110,112,工
111,113,䒑
112,114,𠂆
113,115,㐄
114,116,并
115,117,饣
116,118,亟
117,119,我
118,120,CDP-8CBF
119,121,石
120,122,三
121,123,臼
122,124,句
123,125,肉
124,126,负
125,127,GT-K05014
126,128,CDP-89E0
127,129,㲎
128,130,歹
129,131,冉
130,132,黄
131,133,小
132,134,身
133,135,CDP-8D76
134,136,甲
135,137,戶
136,138,異
137,139,CDP-8CAC
138,140,屯
139,141,𨸋
140,142,⺼
141,143,𫥞
142,144,冖
143,145,冫
144,146,因
145,147,CDP-8B7C
146,148,专
147,149,⺌
148,150,CDP-89F3
149,151,品
150,152,㦰
151,153,㳟
152,154,𢆉
153,155,CDP-8DB5
154,156,干
155,157,⺊
156,158,𠤎
157,159,廴
158,160,辛
159,161,CDP-8CDE
160,162,辰
161,163,几
162,164,从
163,165,匀
164,166,𠂉
165,167,夃
166,168,百
167,169,皮
168,170,豖
169,171,冡
170,172,壬
171,173,爿
172,174,人
173,175,屮
174,176,矛
175,177,丶
176,178,乡
177,179,CDP-8D62
178,180,幺
179,181,CDP-8BD0
180,182,巜
181,183,合
182,184,虎
183,185,兄
184,186,广
185,187,艮
186,188,永
187,189,尺
188,190,果
189,191,斗
190,192,缶
191,193,豸
192,194,下
193,195,申
194,196,龵
195,197,𡈼
196,198,㹜
197,199,半
198,200,𥝢
199,201,CDP-8A6D
200,202,⺄
201,203,𧘇
202,204,GT-K02033
203,205,𰮤
204,206,CDP-89FA
205,207,CDP-89EB
206,208,加
207,209,今
208,210,龙
209,211,CDP-8C5B
210,212,兼
211,213,CDP-8D40
212,214,CDP-8B63
213,215,孖
214,216,立
215,217,玉
216,218,CDP-88D2
217,219,𠂢
218,220,昚
219,221,皃
220,222,生
221,223,畕
222,224,步
223,225,CDP-8BA8
224,226,CDP-89EC
225,227,灰
226,228,火
227,229,CDP-8CA9
228,230,CDP-89AB
229,231,𩵋
230,232,万
231,233,䩗
232,234,𠃌
233,235,𭤨
234,236,弗
235,237,朋
236,238,十
237,239,刍
238,240,CDP-8CC1
239,241,𥁑
240,242,儿
241,243,雨
242,244,𠮛
243,245,世
244,246,乛
245,247,天
246,248,夬
247,249,急
248,250,西
249,251,匹
