,unicode,character,radical_info,final_len
0,U+4E00,一,['一'],1
1,U+4E01,丁,['丁'],1
2,U+4E02,丂,['丂'],1
3,U+4E03,七,['七'],1
4,U+4E04,丄,['丄'],1
5,U+4E05,丅,['丅'],1
6,U+4E06,丆,"['一', '丿']",2
7,U+4E07,万,['万'],1
8,U+4E08,丈,['丈'],1
9,U+4E09,三,['三'],1
10,U+4E0A,上,['上'],1
11,U+4E0B,下,['下'],1
12,U+4E0C,丌,['丌'],1
13,U+4E0D,不,['不'],1
14,U+4E0E,与,"['CDP-8BBF', '一']",2
15,U+4E0F,丏,['丏'],1
16,U+4E10,丐,['丐'],1
17,U+4E11,丑,['丑'],1
18,U+4E12,丒,"['刃', '一']",2
19,U+4E13,专,['专'],1
20,U+4E14,且,['且'],1
21,U+4E15,丕,"['不', '一']",2
22,U+4E16,世,['世'],1
23,U+4E17,丗,['丗'],1
24,U+4E18,丘,['丘'],1
25,U+4E19,丙,"['一', '内']",2
26,U+4E1A,业,['业'],1
27,U+4E1B,丛,"['人', '人', '一']",3
28,U+4E1C,东,['东'],1
29,U+4E1D,丝,"['CDP-895C', 'CDP-895C', '一']",3
30,U+4E1E,丞,"['氶', '一']",2
31,U+4E1F,丟,"['一', '土', '厶']",3
32,U+4E20,丠,"['CDP-8BC5', '匕', '一']",3
33,U+4E21,両,['両'],1
34,U+4E22,丢,"['丿', '土', '厶']",3
35,U+4E23,丣,['丣'],1
36,U+4E24,两,['两'],1
37,U+4E25,严,['严'],1
38,U+4E26,並,"['䒑', '业']",2
39,U+4E27,丧,"['CDP-8A65', 'CDP-8CC6']",2
40,U+4E28,丨,['丨'],1
41,U+4E29,丩,['丩'],1
42,U+4E2A,个,"['𠆢', '丨']",2
43,U+4E2B,丫,['丫'],1
44,U+4E2C,丬,['丬'],1
45,U+4E2D,中,['中'],1
46,U+4E2E,丮,"['⺄', '\U00030001']",2
47,U+4E2F,丯,['丯'],1
48,U+4E30,丰,['丰'],1
49,U+4E31,丱,['丱'],1
50,U+4E32,串,['串'],1
51,U+4E33,丳,['丳'],1
52,U+4E34,临,"['\U00030022', '𫩏']",2
53,U+4E35,丵,"['业', '𢆉']",2
54,U+4E36,丶,['丶'],1
55,U+4E37,丷,"['丶', '丿']",2
56,U+4E38,丸,['丸'],1
57,U+4E39,丹,['丹'],1
58,U+4E3A,为,['为'],1
59,U+4E3B,主,"['丶', '王']",2
60,U+4E3C,丼,"['井', '丶']",2
61,U+4E3D,丽,"['一', '冂', '丶', '冂', '丶']",5
62,U+4E3E,举,"['𭕄', 'GT-K00264', '\U00030001']",3
63,U+4E3F,丿,['丿'],1
64,U+4E40,乀,['乀'],1
65,U+4E41,乁,['乁'],1
66,U+4E42,乂,['乂'],1
67,U+4E43,乃,['乃'],1
68,U+4E44,乄,['乄'],1
69,U+4E45,久,['久'],1
70,U+4E46,乆,['乆'],1
71,U+4E47,乇,"['丿', '七']",2
72,U+4E48,么,"['丿', '厶']",2
73,U+4E49,义,['义'],1
74,U+4E4A,乊,"['丿', '丶', '丿']",3
75,U+4E4B,之,['之'],1
76,U+4E4C,乌,"['CDP-89DE', '一']",2
77,U+4E4D,乍,['乍'],1
78,U+4E4E,乎,['乎'],1
79,U+4E4F,乏,"['丿', '之']",2
80,U+4E50,乐,['乐'],1
81,U+4E51,乑,['乑'],1
82,U+4E52,乒,"['丘', '丿']",2
83,U+4E53,乓,"['丘', '丶']",2
84,U+4E54,乔,"['丿', '大', 'CDP-89AB']",3
85,U+4E55,乕,"['𠂆', 'CDP-89ED']",2
86,U+4E56,乖,['乖'],1
87,U+4E57,乗,['乗'],1
88,U+4E58,乘,['乘'],1
89,U+4E59,乙,['乙'],1
